[Countries]
CNC3|Brampton|43.760278|-79.875||CZYZ|0
CNE3|Bearskin Lake|53.965556|-91.027222||CZWG|0
CNE4|Iroquois Falls|48.741667|-80.793333||CZYZ|0
CNF4|Lindsay|44.364722|-78.783889||CZYZ|0
CNK4|Parry Sound|45.2575|-79.829722||CZYZ|0
CNL3|Brockville Regional Tackaberry Airport|44.639444|-75.750278||CZUL|0
CNM4|Stratford|43.415556|-80.934444||CZYZ|0
CNM5|Kingfisher Lake|53.0125|-89.855278||CZWG|0
CNP3|Arnprior|45.413611|-76.365833||CZUL|0
CNQ3|Welland-Niagara Central|42.979167|-79.324722||CZYZ|0
CNQ4|Tillsonburg|42.926944|-80.749722||CZYZ|0
CNS7|Kincardine|44.201389|-81.606667||CZYZ|0
CNU4|Belleville|44.191673|-77.309997||CZYZ|0
CNY3|Collingwood|44.449167|-80.158333||CZYZ|0
CNZ3|Chatham|42.306389|-82.081944||KZOB|0
CNZ8|Grimsby|43.16|-79.599167||CZYZ|0
CPB9|Baldwin|44.266663|-79.339995||CZYZ|0
CPF2|Bar River|46.420278|-84.092222||CZYZ|0
CPN4|Hanover|44.158333|-81.062778||CZYZ|0
CPR7|Wingham|43.8675|-81.298611||CZYZ|0
CPV7|Poplar Hill|52.113333|-94.255556||CZWG|0
CSC3|Drummondville|45.845278|-72.394721||CZUL|0
CSD4|Mont-Laurier|46.564444|-75.577777||CZUL|0
CSE4|Lachute|45.639444|-74.370555||CZUL|0
CSF3|Poste Montagnais|51.888889|-65.714721||CZUL|0
CSH4|Lebel-Sur-Quevillon|49.030278|-77.017221||CZUL|0
CSM3|Thetford Mines|46.051666|-71.257221||CZUL|0
CSR3|Victoriaville|46.112778|-71.928888||CZUL|0
CSR8|La Sarre|48.917221|-79.178611||CZUL|0
CSU2|Chisasibi|53.805556|-78.916943||CZUL|0
CTA4|St. Bruno de Guigues|47.449167|-79.418055||CZUL|0
CTG3|Du Rocher-Perce (Pabok)|48.383333|-64.564443||CZUL|0
CTH7|Riviere-aux-Saumons|49.4025|-62.303611||CZUL|0
CTP9|Kattiniq-Donaldson|61.6625|-73.317221||CZUL|0
CTT5|La Romaine|50.259722|-60.679443||CZUL|0
CTU2|Fontanges|54.553611|-71.173332||CZUL|0
CYAB|Arctic Bay|73.006386|-85.047318|YAB|CZEG|0
CYAC|Cat Lake|51.727222|-91.824444||CZWG|0
CYAD|La Grande-3|53.571667|-76.196388||CZUL|0
CYAG|Fort Frances|48.654167|-93.439722||KZMP|0
CYAH|La Grande-4|53.75|-73.66639||CZUL|0
CYAJ|Komakuk Beach|69.58306|-140.18306||CZEG|0
CYAL|Alert Bay|50.582318|-126.915785|YAL|CZVR|0
CYAM|Sault Ste Marie|46.485|-84.509444||CZYZ|0
CYAQ|Kasabonika|53.524722|-88.643056||CZWG|0
CYAS|Kangirsuk|60.027222|-69.999166||CZUL|0
CYAT|Attawapiskat|52.9275|-82.431944||CZWG|0
CYAU|South Shore Regional|44.230454|-64.856183||CZQM|0
CYAV|St. Andrews|50.056244|-97.032532||CZWG|0
CYAW|Halifax-Shearwater|44.639722|-63.499444||CZQM|0
